0x09;ADD IX, BC
0x19;ADD IX, DE
0x21;LD IX, {0:04X}H
0x22;LD ({0:04X}H), IX
0x23;INC IX
0x24;INC IXH
0x25;DEC IXH
0x26;LD IXH, {0:02X}H
0x29;ADD IX, IX
0x2A;LD IX, ({0:04X}H)
0x2B;DEC IX
0x2C;INC IXL
0x2D;DEC IXL
0x2E;LD IXL, {0:02X}H
0x34;INC (IX+{0:02X}H)
0x35;DEC (IX+{0:02X}H)
0x36;LD (IX+{0:02X}H), {1:02X}H
0x39;ADD IX, SP
0x44;LD B, IXH
0x45;LD B, IXL
0x46;LD B, (IX+{0:02X}H)
0x4C;LD C, IXH
0x4D;LD C, IXL
0x4E;LD C, (IX+{0:02X}H)
0x54;LD D, IXH
0x55;LD D, IXL
0x56;LD D, (IX+{0:02X}H)
0x5C;LD E, IXH
0x5D;LD E, IXL
0x5E;LD E, (IX+{0:02X}H)
0x60;LD IXH, B
0x61;LD IXH, C
0x62;LD IXH, D
0x63;LD IXH, E
0x64;LD IXH, IXH
0x65;LD IXH, IXL
0x66;LD H, (IX+{0:02X}H)
0x67;LD IXH, A
0x68;LD IXL, B
0x69;LD IXL, C
0x6A;LD IXL, D
0x6B;LD IXL, E
0x6C;LD IXL, IXH
0x6D;LD IXL, IXL
0x6E;LD L, (IX+{0:02X}H)
0x6F;LD IXL, A
0x70;LD (IX+{0:02X}H), B
0x71;LD (IX+{0:02X}H), C
0x72;LD (IX+{0:02X}H), D
0x73;LD (IX+{0:02X}H), E
0x74;LD (IX+{0:02X}H), H
0x75;LD (IX+{0:02X}H), L
0x77;LD (IX+{0:02X}H), A
0x7C;LD A, IXH
0x7D;LD A, IXL
0x7E;LD A, (IX+{0:02X}H)
0x84;ADD A, IXH
0x85;ADD A, IXL
0x86;ADD A, (IX+{0:02X}H)
0x8C;ADC A, IXH
0x8D;ADC A, IXL
0x8E;ADC A, (IX+{0:02X}H)
0x94;SUB IXH
0x95;SUB IXL
0x96;SUB (IX+{0:02X}H)
0x9C;SBC A, IXH
0x9D;SBC A, IXL
0x9E;SBC A, (IX+{0:02X}H)
0xA4;AND IXH
0xA5;AND IXL
0xA6;AND (IX+{0:02X}H)
0xAC;XOR IXH
0xAD;XOR IXL
0xAE;XOR (IX+{0:02X}H)
0xB4;OR IXH
0xB5;OR IXL
0xB6;OR (IX+{0:02X}H)
0xBC;CP IXH
0xBD;CP IXL
0xBE;CP (IX+{0:02X}H)
0xE1;POP IX
0xE3;EX (SP), IX
0xE5;PUSH IX
0xE9;JP (IX)
0xF9;LD SP, IX
